Cliente;"Consolidado
 Agrupaci�n";"Albar�n
 SuReferencia";"ID Palet
 (si Paletizado)";ID Portadora;C�digo de Art�culo;Descripci�n Art�culo;2� Descripci�n;Unidades;Partida Arancelaria;C�digo Barras(EAN13);C�digo Barras(DUN14);Cantidad en DUN14;N� de Serie;Lote;Fecha Caducidad;Medidas de Portadora;Volumen m� Portadora;"Peso Bruto Portadora
 (en Kgs.)";Medidas de Palet;Volumen m� Palet;"Peso Bruto Palet
 (en Kgs.)";Fecha Inicio Picking;Hora  Inicio Picking;Fecha Final Picking;Hora  Final Picking;Albar�n del Cliente;Pedido del Cliente;N� Documento Cliente;C�digo del Cliente;Nombre Destinatario;Direcci�n;C�digo Postal;Poblaci�n;Provincia;Pa�s (ISO);Tel�fono;e-mail;Especificos Cliente;DVD Tipo;DVD N�mero;DVD Partida;"Embalaje
 Art�culo Clte.
 Relacionado";"Art�culo Clte.
 Original de este
 Sub-Elemento"
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790157;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH0812A6;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790157;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH0812A9;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790157;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH08126C;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790157;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH081269;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100862111531;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH0812B4;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100862111531;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH08128D;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100862111531;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH081293;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100862111548;RPK20E923HW-1;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW-1;               ;;243CSH0812B7;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;390000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790140;RPK20E923HW;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW;               ;;7076FF038EC8;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;210000;               ;               ;;               ;               
WORLDSENSING, S.L.;               ;EN25-00239;7000833052781;7100861790140;RPK20E923HW;K20 Edge Repeater 923 MHz, int. 2,6dBi radio antenna;               ;1;               ;RPK20E923HW;               ;;7076FF038ED8;               ;               ;               ;;;120x080x100;0,96;161,2;20/02/2025;09.08.00;21/02/2025;15.10.00;               ;OC 004-2025;SN-2025-0267;C0230;Aeropuerto de Lima;Av. Elmer Faucett s/n, Callao;7031;Lima;               ;PE;51943945666;jorosco@geosinergia.com.pe;210000;               ;               ;;               ;               
